competition,event,race,code,date,position,nationality,time,crew
2018 World Rowing Cup II,M4x,Men's Quadruple Sculls - Semifinal,SA/B 1,23/06/2018,5,NOR,05:55.9,"OEYASAETER, Erling; SOLBAKKEN, Erik; HELVIG, Jan Oscar Stabe; TUFTE, Olaf"
2018 World Rowing Cup II,M4x,Men's Quadruple Sculls - Semifinal,SA/B 1,23/06/2018,6,RUS,05:58.1,"KOSOV, Artem; VYAZOVKIN, Alexander; PIMENOV, Nikolay; SORIN, Pavel"
2018 World Rowing Cup II,M4x,Men's Quadruple Sculls - Semifinal,SA/B 2,23/06/2018,1,POL,05:42.0,"POSNIK, Szymon; ZAWOJSKI, Maciej; CZAJA, Dominik; CHABEL, Wiktor"
2018 World Rowing Cup II,M4x,Men's Quadruple Sculls - Semifinal,SA/B 2,23/06/2018,2,AUS,05:43.5,"ANTILL, Caleb; PURNELL, Alexander; LETCHER, Luke; WATTS, David"
2018 World Rowing Cup II,M4x,Men's Quadruple Sculls - Semifinal,SA/B 2,23/06/2018,3,NED,05:43.7,"UITTENBOGAARD, Dirk; BROENINK, Stefan; METSEMAKERS, Koen; WIERSMA, Abe"
2018 World Rowing Cup II,M4x,Men's Quadruple Sculls - Semifinal,SA/B 2,23/06/2018,4,GBR,05:45.5,"COLLINS, John; WALTON, Jonathan; THOMAS, Graeme; BARRAS, Thomas"
2018 World Rowing Cup II,M4x,Men's Quadruple Sculls - Semifinal,SA/B 2,23/06/2018,5,UKR,05:47.3,"GRYN, Sergii; MIKHAY, Dmytro; NADTOKA, Olexandr; DOVGODKO, Ivan"
2018 World Rowing Cup II,M4x,Men's Quadruple Sculls - Semifinal,SA/B 2,23/06/2018,6,USA,06:02.7,"FRID, Erik; KIRKEGAARD, Jonathan; ANSOLABEHERE, Gregory; KEEN, Justin"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H1,22/06/2018,1,GER2,07:00.8,"NASKE, Tim Ole"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H1,22/06/2018,2,ITA1,07:01.9,"MARTINI, Simone"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H1,22/06/2018,3,RUS1,07:03.0,"RYABCEV, Vladislav"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H1,22/06/2018,4,HUN1,07:03.4,"PETERVARI-MOLNAR, Bendeguz"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H1,22/06/2018,5,HUN2,07:05.8,"PAPP, Gergely"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H2,22/06/2018,1,AUS,06:57.8,"WATTS, Campbell"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H2,22/06/2018,2,CUB,07:00.0,"FOURNIER RODRIGUEZ, Angel"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H2,22/06/2018,3,DEN,07:01.0,"NIELSEN, Sverri"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H2,22/06/2018,4,BRA,07:12.0,"FERREIRA, Lucas"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H2,22/06/2018,5,NZL3,07:18.5,"THOMAS, Giacomo"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H3,22/06/2018,1,NZL1,06:50.9,"MANSON, Robert"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H3,22/06/2018,2,FRA,06:56.9,"VERHOEVEN, Thibaut"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H3,22/06/2018,3,CRO2,07:05.1,"SAIN, David"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H3,22/06/2018,4,POL,07:06.0,"WICENCIAK, Adam"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H3,22/06/2018,5,RUS2,07:07.3,"POTAPKIN, Andrey"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H4,22/06/2018,1,NZL2,06:59.3,"DRYSDALE, Mahe"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H4,22/06/2018,2,FIN,07:01.8,"VEN, Robert"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H4,22/06/2018,3,SUI,07:06.6,"KESSLER, Markus"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H4,22/06/2018,4,SWE,07:06.6,"BACKEUS, Anders"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H4,22/06/2018,5,CHN,07:11.2,"ZHANG, Liang"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H5,22/06/2018,1,NOR,06:53.0,"BORCH, Kjetil"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H5,22/06/2018,2,GBR,06:58.0,"LEASK, Harry"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H5,22/06/2018,3,CRO1,06:59.9,"MARTIN, Damir"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H5,22/06/2018,4,AUT,07:11.1,"REIM, Lukas"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H5,22/06/2018,5,UKR,07:25.6,"LUKIANENKO, Oleksandr"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H6,22/06/2018,1,BLR,07:02.8,"MIHAL, Dzianis"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H6,22/06/2018,2,GER1,07:05.7,"ZEIDLER, Oliver"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H6,22/06/2018,3,ARG,07:06.8,"ROSSO, Brian"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Heat,H6,22/06/2018,4,GRE,07:18.6,"KALANDARIDIS, Ioannis"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FA,24/06/2018,1,NZL1,06:45.0,"MANSON, Robert"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FA,24/06/2018,2,GER2,06:46.2,"NASKE, Tim Ole"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FA,24/06/2018,3,GER1,06:47.3,"ZEIDLER, Oliver"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FA,24/06/2018,4,NOR,06:51.7,"BORCH, Kjetil"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FA,24/06/2018,5,DEN,06:52.2,"NIELSEN, Sverri"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FA,24/06/2018,6,CUB,06:59.9,"FOURNIER RODRIGUEZ, Angel"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FB,24/06/2018,1,GBR,06:52.8,"LEASK, Harry"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FB,24/06/2018,2,RUS1,06:54.2,"RYABCEV, Vladislav"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FB,24/06/2018,3,FRA,06:54.7,"VERHOEVEN, Thibaut"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FB,24/06/2018,4,HUN1,07:06.1,"PETERVARI-MOLNAR, Bendeguz"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FB,24/06/2018,5,CRO1,07:23.3,"MARTIN, Damir"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FC,23/06/2018,1,BLR,06:54.1,"MIHAL, Dzianis"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FC,23/06/2018,2,AUS,06:54.3,"WATTS, Campbell"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FC,23/06/2018,3,ARG,06:59.4,"ROSSO, Brian"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FC,23/06/2018,4,ITA1,06:59.5,"MARTINI, Simone"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FC,23/06/2018,5,FIN,07:00.1,"VEN, Robert"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FC,23/06/2018,6,HUN2,07:05.9,"PAPP, Gergely"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FD,23/06/2018,1,SUI,07:00.2,"KESSLER, Markus"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FD,23/06/2018,2,AUT,07:03.4,"REIM, Lukas"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FD,23/06/2018,3,POL,07:04.9,"WICENCIAK, Adam"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FD,23/06/2018,4,SWE,07:05.2,"BACKEUS, Anders"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FD,23/06/2018,5,BRA,07:05.7,"FERREIRA, Lucas"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FD,23/06/2018,6,CRO2,07:05.9,"SAIN, David"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FE,23/06/2018,1,RUS2,07:02.2,"POTAPKIN, Andrey"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FE,23/06/2018,2,GRE,07:03.9,"KALANDARIDIS, Ioannis"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FE,23/06/2018,3,NZL3,07:04.5,"THOMAS, Giacomo"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FE,23/06/2018,4,CHN,07:06.8,"ZHANG, Liang"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Final,FE,23/06/2018,5,UKR,00:00.0,"LUKIANENKO, Oleksandr"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q1,22/06/2018,1,NOR,06:51.7,"BORCH, Kjetil"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q1,22/06/2018,2,DEN,06:53.0,"NIELSEN, Sverri"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q1,22/06/2018,3,FRA,06:56.1,"VERHOEVEN, Thibaut"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q1,22/06/2018,4,ITA1,06:57.5,"MARTINI, Simone"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q1,22/06/2018,5,ARG,06:57.6,"ROSSO, Brian"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q1,22/06/2018,6,SWE,07:05.1,"BACKEUS, Anders"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q2,22/06/2018,1,CUB,06:54.1,"FOURNIER RODRIGUEZ, Angel"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q2,22/06/2018,2,CRO1,06:56.0,"MARTIN, Damir"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q2,22/06/2018,3,RUS1,06:56.1,"RYABCEV, Vladislav"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q2,22/06/2018,4,BLR,07:00.9,"MIHAL, Dzianis"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q2,22/06/2018,5,FIN,07:01.5,"VEN, Robert"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q2,22/06/2018,6,POL,07:25.6,"WICENCIAK, Adam"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q3,22/06/2018,1,GER2,06:56.6,"NASKE, Tim Ole"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q3,22/06/2018,2,GBR,06:59.8,"LEASK, Harry"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q3,22/06/2018,3,NZL2,07:01.6,"DRYSDALE, Mahe"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q3,22/06/2018,4,HUN2,07:05.6,"PAPP, Gergely"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q3,22/06/2018,5,CRO2,07:11.5,"SAIN, David"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q3,22/06/2018,6,BRA,07:20.8,"FERREIRA, Lucas"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q4,22/06/2018,1,NZL1,06:56.1,"MANSON, Robert"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q4,22/06/2018,2,GER1,06:56.9,"ZEIDLER, Oliver"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q4,22/06/2018,3,HUN1,06:58.9,"PETERVARI-MOLNAR, Bendeguz"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q4,22/06/2018,4,AUS,06:59.3,"WATTS, Campbell"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q4,22/06/2018,5,SUI,07:15.5,"KESSLER, Markus"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Quarterfinal,Q4,22/06/2018,6,AUT,07:45.2,"REIM, Lukas"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,1,GER2,06:50.8,"NASKE, Tim Ole"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,2,GER1,06:52.6,"ZEIDLER, Oliver"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,3,NOR,06:53.9,"BORCH, Kjetil"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,4,FRA,06:57.0,"VERHOEVEN, Thibaut"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,5,CRO1,07:02.9,"MARTIN, Damir"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,6,HUN1,07:10.2,"PETERVARI-MOLNAR, Bendeguz"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,0,NZL2,00:00.0,"DRYSDALE, Mahe"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,1,NZL1,06:47.7,"MANSON, Robert"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,2,CUB,06:49.2,"FOURNIER RODRIGUEZ, Angel"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,3,DEN,06:49.2,"NIELSEN, Sverri"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,4,GBR,06:50.4,"LEASK, Harry"
2018 World Rowing Cup II,M1x,Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,5,RUS1,06:56.3,"RYABCEV, Vladislav"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H1,22/06/2018,1,UKR,09:33.1,"POLIANSKYI, Roman"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H1,22/06/2018,2,POL,10:07.7,"KAILING, Jaroslaw"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H1,22/06/2018,3,AUT1,10:37.6,"DOLLESCHAL, Klaus"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H1,22/06/2018,4,HUN1,11:00.3,"PETO, Zsolt"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H1,22/06/2018,5,AUT2,11:51.5,"SUPPAN, Alexander"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H2,22/06/2018,1,ITA,09:59.9,"CASELLI, Fabrizio"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H2,22/06/2018,2,RUS,10:01.9,"CHUVASHEV, Alexey"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H2,22/06/2018,3,LTU,10:26.3,"NAVICKAS, Augustas"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H2,22/06/2018,4,HUN2,12:31.7,"FARKAS, Atilla"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H3,22/06/2018,1,GBR,09:53.4,"HOUGHTON, Andrew"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H3,22/06/2018,2,BRA,10:13.4,"PEREIRA, Rene"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H3,22/06/2018,3,FRA2,10:18.3,"HARDI, Julien"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Heat,H3,22/06/2018,4,FRA1,10:18.4,"DANIERE, Pascal"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FA,23/06/2018,1,UKR,09:38.6,"POLIANSKYI, Roman"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FA,23/06/2018,2,RUS,09:50.9,"CHUVASHEV, Alexey"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FA,23/06/2018,3,GBR,09:58.1,"HOUGHTON, Andrew"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FA,23/06/2018,4,BRA,10:04.9,"PEREIRA, Rene"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FA,23/06/2018,5,ITA,10:08.2,"CASELLI, Fabrizio"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FA,23/06/2018,6,FRA2,10:37.0,"HARDI, Julien"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FB,23/06/2018,1,POL,10:18.1,"KAILING, Jaroslaw"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FB,23/06/2018,2,LTU,10:27.4,"NAVICKAS, Augustas"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FB,23/06/2018,3,FRA1,10:29.6,"DANIERE, Pascal"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FB,23/06/2018,4,AUT1,10:50.5,"DOLLESCHAL, Klaus"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FB,23/06/2018,5,HUN1,11:13.6,"PETO, Zsolt"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Final,FB,23/06/2018,6,AUT2,12:04.7,"SUPPAN, Alexander"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Repechage,R1,22/06/2018,1,FRA1,11:31.6,"DANIERE, Pascal"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Repechage,R1,22/06/2018,2,HUN1,12:10.3,"PETO, Zsolt"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Repechage,R1,22/06/2018,3,AUT2,13:19.6,"SUPPAN, Alexander"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Repechage,R1,22/06/2018,4,HUN2,13:23.5,"FARKAS, Atilla"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,1,UKR,09:44.9,"POLIANSKYI, Roman"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,2,BRA,10:02.3,"PEREIRA, Rene"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,3,ITA,10:07.2,"CASELLI, Fabrizio"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,4,LTU,10:15.2,"NAVICKAS, Augustas"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,5,FRA1,10:16.7,"DANIERE, Pascal"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 1,23/06/2018,6,AUT2,11:53.2,"SUPPAN, Alexander"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,1,RUS,10:03.9,"CHUVASHEV, Alexey"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,2,GBR,10:16.8,"HOUGHTON, Andrew"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,3,FRA2,10:23.8,"HARDI, Julien"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,4,POL,10:34.2,"KAILING, Jaroslaw"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,5,AUT1,10:50.9,"DOLLESCHAL, Klaus"
2018 World Rowing Cup II,PR1 M1x,PR1 Men's Single Sculls - Semifinal,SA/B 2,23/06/2018,6,HUN1,11:17.7,"PETO, Zsolt"
2018 World Rowing Cup II,PR1 W1x,PR1 Women's Single Sculls - Final,FA,23/06/2018,1,NOR,10:46.2,"SKARSTEIN, Birgit"
2018 World Rowing Cup II,PR1 W1x,PR1 Women's Single Sculls - Final,FA,23/06/2018,2,UKR,11:31.5,"SHEREMET, Anna"
2018 World Rowing Cup II,PR1 W1x,PR1 Women's Single Sculls - Final,FA,23/06/2018,3,GER,11:33.5,"PILLE-STEPPART, Sylvia"
2018 World Rowing Cup II,PR1 W1x,PR1 Women's Single Sculls - Final,FA,23/06/2018,4,ITA,11:54.5,"HOXHA, Anila"
2018 World Rowing Cup II,PR1 W1x,PR1 Women's Single Sculls - Preleminary,X1,22/06/2018,1,NOR,10:24.5,"SKARSTEIN, Birgit"
2018 World Rowing Cup II,PR1 W1x,PR1 Women's Single Sculls - Preleminary,X1,22/06/2018,2,GER,11:20.0,"PILLE-STEPPART, Sylvia"
2018 World Rowing Cup II,PR1 W1x,PR1 Women's Single Sculls - Preleminary,X1,22/06/2018,3,UKR,11:47.6,"SHEREMET, Anna"
2018 World Rowing Cup II,PR1 W1x,PR1 Women's Single Sculls - Preleminary,X1,22/06/2018,4,ITA,11:49.1,"HOXHA, Anila"
2018 World Rowing Cup II,PR2 M1x,PR2 Men's Single Sculls - Final,FA,23/06/2018,1,NED,08:38.5,"DE KONING, Corne"
2018 World Rowing Cup II,PR2 M1x,PR2 Men's Single Sculls - Final,FA,23/06/2018,2,GBR,08:57.5,"WHITELEY, Laurence"
2018 World Rowing Cup II,PR2 M1x,PR2 Men's Single Sculls - Final,FA,23/06/2018,3,ITA,10:03.4,"MIRABILE, Gianfilippo"
2018 World Rowing Cup II,PR2 M1x,PR2 Men's Single Sculls - Preleminary,X1,22/06/2018,1,NED,08:39.9,"DE KONING, Corne"
2018 World Rowing Cup II,PR2 M1x,PR2 Men's Single Sculls - Preleminary,X1,22/06/2018,2,GBR,08:51.5,"WHITELEY, Laurence"
2018 World Rowing Cup II,PR2 M1x,PR2 Men's Single Sculls - Preleminary,X1,22/06/2018,3,ITA,10:26.6,"MIRABILE, Gianfilippo"
2018 World Rowing Cup II,PR2 Mix2x,PR2 Mixed Double Sculls - Final,FA,23/06/2018,1,NED,08:13.3,"VAN DER MEER, Annika; DE KONING, Corne"
2018 World Rowing Cup II,PR2 Mix2x,PR2 Mixed Double Sculls - Final,FA,23/06/2018,2,BRA,08:29.3,"LIMA, Josiane; GOMES PESSANHA, Michel"
2018 World Rowing Cup II,PR2 Mix2x,PR2 Mixed Double Sculls - Final,FA,23/06/2018,3,POL,08:32.6,"GADOWSKI, Michal; MAJKA, Jolanta"
2018 World Rowing Cup II,PR2 Mix2x,PR2 Mixed Double Sculls - Final,FA,23/06/2018,4,UKR,08:41.3,"KOIUDA, Iaroslav; BOHUSLAVSKA, Svitlana"
2018 World Rowing Cup II,PR2 Mix2x,PR2 Mixed Double Sculls - Preleminary,X1,22/06/2018,1,NED,08:20.1,"VAN DER MEER, Annika; DE KONING, Corne"
2018 World Rowing Cup II,PR2 Mix2x,PR2 Mixed Double Sculls - Preleminary,X1,22/06/2018,2,UKR,08:38.3,"KOIUDA, Iaroslav; BOHUSLAVSKA, Svitlana"
2018 World Rowing Cup II,PR2 Mix2x,PR2 Mixed Double Sculls - Preleminary,X1,22/06/2018,3,BRA,08:41.1,"LIMA, Josiane; GOMES PESSANHA, Michel"
2018 World Rowing Cup II,PR2 Mix2x,PR2 Mixed Double Sculls - Preleminary,X1,22/06/2018,4,POL,08:41.4,"GADOWSKI, Michal; MAJKA, Jolanta"
2018 World Rowing Cup II,PR2 W1x,PR2 Women's Single Sculls - Final,FA,23/06/2018,1,FRA,09:40.5,"BOUGE, Perle"
2018 World Rowing Cup II,PR2 W1x,PR2 Women's Single Sculls - Final,FA,23/06/2018,2,NED,09:50.6,"VAN DER MEER, Annika"
2018 World Rowing Cup II,PR2 W1x,PR2 Women's Single Sculls - Preleminary,X1,22/06/2018,1,FRA,09:39.7,"BOUGE, Perle"
2018 World Rowing Cup II,PR2 W1x,PR2 Women's Single Sculls - Preleminary,X1,22/06/2018,2,NED,09:51.4,"VAN DER MEER, Annika"
2018 World Rowing Cup II,PR3 M2-,PR3 Men's Pair - Final,FA,23/06/2018,1,GBR,07:11.2,"STANHOPE, Oliver; BROWN, Daniel"
2018 World Rowing Cup II,PR3 M2-,PR3 Men's Pair - Final,FA,23/06/2018,2,FRA1,07:13.2,"TARANTO, Remy; JESEL, Antoine"
2018 World Rowing Cup II,PR3 M2-,PR3 Men's Pair - Final,FA,23/06/2018,3,FRA2,07:26.6,"VIALA, Laurent; PAILLER, Jerome"
2018 World Rowing Cup II,PR3 M2-,PR3 Men's Pair - Final,FA,23/06/2018,4,ITA,08:28.8,"NUCCIO, Federico; SCHETTINO, Tommaso"
2018 World Rowing Cup II,PR3 M2-,PR3 Men's Pair - Preleminary,X1,22/06/2018,1,FRA1,07:10.6,"TARANTO, Remy; JESEL, Antoine"
2018 World Rowing Cup II,PR3 M2-,PR3 Men's Pair - Preleminary,X1,22/06/2018,2,GBR,07:18.6,"STANHOPE, Oliver; BROWN, Daniel"
2018 World Rowing Cup II,PR3 M2-,PR3 Men's Pair - Preleminary,X1,22/06/2018,3,FRA2,07:29.1,"VIALA, Laurent; PAILLER, Jerome"
2018 World Rowing Cup II,PR3 M2-,PR3 Men's Pair - Preleminary,X1,22/06/2018,4,ITA,08:07.3,"NUCCIO, Federico; SCHETTINO, Tommaso"
2018 World Rowing Cup II,PR3 Mix4+,PR3 Mixed Coxed Four - Final,FA,23/06/2018,1,UKR,07:25.3,"SAMOLIUK, Stanislav; KOROLENKO, Yelyzaveta; HEREZ, Dmytro; YANKOVA, Olexandra; MOSKALETS, Marharyta"
2018 World Rowing Cup II,PR3 Mix4+,PR3 Mixed Coxed Four - Final,FA,23/06/2018,2,ITA,07:26.3,"AGLIOTI, Lucilla; AGOLETTO, Luca; MUTI, Greta; SCHETTINO, Tommaso; DI CAPUA, Giuseppe"
2018 World Rowing Cup II,PR3 Mix4+,PR3 Mixed Coxed Four - Preleminary,X1,22/06/2018,1,UKR,07:34.2,"SAMOLIUK, Stanislav; KOROLENKO, Yelyzaveta; HEREZ, Dmytro; YANKOVA, Olexandra; MOSKALETS, Marharyta"
2018 World Rowing Cup II,PR3 Mix4+,PR3 Mixed Coxed Four - Preleminary,X1,22/06/2018,2,ITA,07:36.7,"AGLIOTI, Lucilla; AGOLETTO, Luca; MUTI, Greta; SCHETTINO, Tommaso; DI CAPUA, Giuseppe"
2018 World Rowing Cup II,PR3 Mix2x,PR3 Mixed Double Sculls - Final,FA,23/06/2018,0,UKR,00:00.0,"ZHUK, Maksym; HAVRYSIUK, Anzhela"
2018 World Rowing Cup II,PR3 Mix2x,PR3 Mixed Double Sculls - Final,FA,23/06/2018,1,AUT,08:02.5,"BEYER, Johanna; ERKINGER, David"
