competition,event,race,code,date,position,nationality,time,crew
2015 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,31/08/2015,4,USA,07:11.6,"WINSTEAD, Frederick; BROWN, Taylor; MENDELSON, Jacob"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,04/09/2015,1,GBR,06:51.3,"REILLY-O'DONNELL, Nathaniel; TARRANT, Matthew; FIELDMAN, Henry"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,04/09/2015,2,GER,06:57.4,"SCHNEIDER, Jakob; ERNSTING, Clemens; WIESEN, Jonas"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,04/09/2015,3,SRB,06:59.5,"PIVAC, Viktor; MACKOVIC, Martin; MLADENOVIC, Luka"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,04/09/2015,4,RSA,07:01.2,"DAVIS, Leo Victor; GREEN, Jake; MORGAN, Willie"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,04/09/2015,5,BLR,07:02.5,"VALADZKO, Siarhei; VYBERANETS, Dzmitry; PIATRYNICH, Piotr"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Final,FA,04/09/2015,6,FRA,07:07.6,"DELACHAUME, Romain; MACQUET, Jean-Baptiste; MANCEAU, Benjamin"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,04/09/2015,1,ITA,07:06.3,"LIUZZI, Emanuele; PARLATO, Luca; RIVA, Andrea"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Final,FB,04/09/2015,2,USA,07:11.7,"WINSTEAD, Frederick; BROWN, Taylor; MENDELSON, Jacob"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,02/09/2015,1,BLR,07:00.6,"VALADZKO, Siarhei; VYBERANETS, Dzmitry; PIATRYNICH, Piotr"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,02/09/2015,2,SRB,07:02.0,"PIVAC, Viktor; MACKOVIC, Martin; MLADENOVIC, Luka"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,02/09/2015,3,RSA,07:02.7,"DAVIS, Leo Victor; GREEN, Jake; MORGAN, Willie"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,02/09/2015,4,FRA,07:02.7,"DELACHAUME, Romain; MACQUET, Jean-Baptiste; MANCEAU, Benjamin"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,02/09/2015,5,USA,07:03.1,"WINSTEAD, Frederick; BROWN, Taylor; MENDELSON, Jacob"
2015 World Rowing Championships,M2+,Men's Coxed Pair - Repechage,R1,02/09/2015,6,ITA,07:11.4,"LIUZZI, Emanuele; PARLATO, Luca; RIVA, Andrea"
2015 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,11/07/2015,1,GBR,07:29.0,"MCBRIERTY, Callum; TARRANT, Matthew; FIELDMAN, Henry"
2015 World Rowing Cup III,M2+,Men's Coxed Pair - Final,FA,11/07/2015,2,GER,07:38.7,"SCHROETER, Paul; BIRKNER, Bjoern; WIESEN, Jonas"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,22/08/2016,1,ITA,07:03.1,"PAONESSA, Mario; CAPELLI, Vincenzo; RIVA, Andrea"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,22/08/2016,2,ESP,07:03.6,"GARCIA ORDONEZ, Javier; MONTES, Ismael; JURADO DIAZ, Tomas"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,22/08/2016,3,BLR,07:05.5,"FURMAN, Dzimitry; SURAVETS, Dzianis; PIATRYNICH, Piotr"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,22/08/2016,4,RSA,07:09.6,"DAVIS, Leo Victor; BRITTAIN, Charles; KHUMALO, Jabulani"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H1,22/08/2016,5,BUL,07:13.2,"VASILEV, Kristian; BOZHILOV, Georgi; STAMENOV, Andon"
2016 World Rowing Championships,M2+,Men's Coxed Pair - Heat,H2,22/08/2016,1,NED,07:00.5,"BRAAS, Roel; STEENMAN, Mitchel; WIERSUM, Peter"
