competition,event,race,code,position,nationality,time,crew
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q1,1,BEL,06:37.4,"VANPARYS, Robin; DE LOOF, Pierre"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q1,2,FRA,06:38.3,"ANTOGNELLI, Quentin; HOUIN, Pierre"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q1,3,NOR,06:40.2,"SOLBAKKEN, Erik; WEST, Halvor"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q1,4,CRO,06:46.1,"SAMBOLEC, Karlo; HEREGA, Matej"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q1,5,KOR,06:57.5,"AN, Youngcheol; PARK, Hyunsu"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q1,6,ZIM,07:05.4,"FABER, Murray; JOHNSON, Michael"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,1,POL,06:35.6,"CZAJA, Dominik; SYPOSZ, Patryk"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,1,CHN,06:33.4,"CHENG, Xunman; XU, Lei"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,2,EST,06:39.0,"UDAM, Juri-Mikk; SUURSILD, Geir"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,2,POL,06:35.6,"CZAJA, Dominik; SYPOSZ, Patryk"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,3,EST,06:39.0,"UDAM, Juri-Mikk; SUURSILD, Geir"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,3,SLO,06:47.4,"CRNAC, Zan; PANGOS, Luka"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,4,BLR,06:52.4,"SHAUCHENKA, Anatoli; SLIZH, Yauhen"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,4,SLO,06:47.4,"CRNAC, Zan; PANGOS, Luka"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,5,DEN,06:54.3,"NIELSEN, Thomas; MUNK, Peter"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,5,BLR,06:52.4,"SHAUCHENKA, Anatoli; SLIZH, Yauhen"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,0,CHN,00:00.0,"CHENG, Xunman; XU, Lei"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q2,6,DEN,06:54.3,"NIELSEN, Thomas; MUNK, Peter"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q3,1,LAT,06:34.7,"KALNINS, Kriss; ZUNDE, Gints"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q3,2,SRB,06:36.4,"MACKOVIC, Martin; PIVAC, Viktor"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q3,3,LTU,06:36.5,"LAPATIUKAS, Andrius; LAPATIUKAS, Vytautas"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q3,4,AUT,06:36.5,"NATTER, Daniel; GRUBER, Timon"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q3,5,CZE,06:40.0,"DAVID, Kral; SEBASTIAN, Vlcek"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q3,6,IRQ,07:12.8,"KADHIM, Nameer; WALHAH, Omar"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q4,1,GER,06:30.6,"FUHRMANN, Kai; DABERKOW, Ole"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q4,2,SUI,06:35.1,"TOLLARDO, Damien; DELARZE, Barnabe"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q4,3,USA,06:36.3,"WAGNER, Richard; BUCHHOLZ, Chase"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q4,4,RSA,06:38.3,"GEARING, Matthew; SCHOONBEE, Kyle"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q4,5,BUL,07:07.8,"GORKI, Mario; YAKOV, Anislav"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Quarterfinal,Q4,6,VEN,07:12.1,"LOPEZ, Samuel; RIVAS ISASIS, Fernando"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 1,1,SUI,06:32.4,"TOLLARDO, Damien; DELARZE, Barnabe"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 1,2,BEL,06:33.6,"VANPARYS, Robin; DE LOOF, Pierre"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 1,3,POL,06:34.3,"CZAJA, Dominik; SYPOSZ, Patryk"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 1,4,NOR,06:34.8,"SOLBAKKEN, Erik; WEST, Halvor"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 1,5,SRB,06:45.3,"MACKOVIC, Martin; PIVAC, Viktor"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 1,6,LTU,07:02.1,"LAPATIUKAS, Andrius; LAPATIUKAS, Vytautas"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 2,1,GER,06:29.2,"FUHRMANN, Kai; DABERKOW, Ole"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 2,2,LAT,06:30.9,"KALNINS, Kriss; ZUNDE, Gints"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 2,3,EST,06:31.3,"UDAM, Juri-Mikk; SUURSILD, Geir"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 2,4,USA,06:32.7,"WAGNER, Richard; BUCHHOLZ, Chase"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 2,5,FRA,06:40.3,"ANTOGNELLI, Quentin; HOUIN, Pierre"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SA/B 2,6,SLO,06:41.1,"CRNAC, Zan; PANGOS, Luka"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 1,1,CRO,06:51.5,"TRUCEK, Tin; HEREGA, Matej"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 1,2,CZE,06:54.6,"DAVID, Kral; SEBASTIAN, Vlcek"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 1,3,BLR,06:55.7,"SHAUCHENKA, Anatoli; SLIZH, Yauhen"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 1,4,BUL,06:55.8,"GORKI, Mario; YAKOV, Anislav"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 1,5,ZIM,07:09.3,"FABER, Murray; JOHNSON, Michael"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 1,6,IRQ,07:29.5,"KADHIM, Nameer; WALHAH, Omar"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 2,1,CHN,06:46.5,"CHENG, Xunman; XU, Lei"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 2,2,RSA,06:53.0,"GEARING, Matthew; SCHOONBEE, Kyle"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 2,3,KOR,06:54.5,"AN, Youngcheol; PARK, Hyunsu"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 2,4,DEN,06:56.5,"NIELSEN, Thomas; MUNK, Peter"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 2,5,VEN,07:06.4,"LOPEZ, Samuel; RIVAS ISASIS, Fernando"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SC/D 2,0,AUT,00:00.0,"NATTER, Daniel; GRUBER, Timon"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 1,1,RUS,06:51.8,"BOGDASHIN, Aleksandr; CHERMASHENTSEV, Merab"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 1,2,SWE,06:55.2,"FREUDENTHAL, Emil; STAHLBERG, Karl"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 1,3,BRA,06:57.9,"KREITLOW, Lucas; FERREIRA DE MELO, Samuel"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 1,4,HKG,07:13.3,"NG, Ka Ho; TANG, Tsz Hau"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 1,5,GEO,07:43.4,"BAIASHVILI, Archili; KOIAVA, Gela"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 2,1,MEX,06:58.6,"MORALES FILIO, Enrique; ESTRADA, Juan Francisco"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 2,2,CAN,07:01.0,"TIERNEY, Kieran; BELFIORE, Stefano"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 2,3,UKR,07:04.2,"SEREBRIANSKYI, Anatolii; BORYSENKO, Denys"
2012 World Rowing Championships,JM2x,Junior Men's Double Sculls - Semifinal,SE/F 2,4,GRE,07:06.9,"KOSTAS, Nkolaos; LADOPOULOS, Georgios"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H1,1,ITA,05:35.9,"CARCANO, Guglielmo; BORSINI, Matteo; ABAGNALE, Giovanni; PAGANI, Niccolo; LOVISOLO, Luca; ZILERI, Pietro; LODO, Matteo; MANSUTTI, Alessandro; D'ANIELLO, Enrico"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H1,2,GBR,05:39.6,"SHAW, Charles; MORLEY, Titus; MUNNO, Eduardo; GEORGE, Thomas; JONES, Callum; WYNNE-GRIFFITH, Oliver; BENSTEAD, Matthew; MARSHALL, Thomas; HENSHAW, Edward"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H1,3,USA,05:40.2,"CAPUTO III, Albert; WOOLLEY, Peter; DAVIS, Gregory; EBLE, Patrick; MUTO, Patrick; VAN ANDEL, Harrison; FRANCIS III, Adelbert; GOLDMAN, Julian; OVERFIELD, Peter"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H1,4,ROU,05:51.6,"NECHIFOR, Bogdan-Constantin; MARDARE, Alexandru-Vasilica; DEDU, Gheorghe-Robert; STEFAN, Gabriel; MIHALESCU, GHEORGHE-COSTEL; NEDELCU, George; HODOROGEA, Florian; CIRGEA, Aurel-Stefan; STOENICA, Laurentiu"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H1,5,SRB,06:30.3,"DIMITRIJEVIC, Uros; NOVAKOVIC, Nikola; KRLOVIC, Nikola; MILOVANOVIC, Dragisa; GAVRIC, Ljubomir; PEJANOVIC, Luka; RAJIC, Zoran; RISTIC, Marko; ARVAI, Marko"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H2,1,GER,05:42.3,"AURIN, Frederic; KORGE, Maximilian; KESSNER, Theo; HOERNSCHEMEYER, Matthias; WODRICH, Til-Malte; DABERKOW, Malte; KRUPPA, Jan; KNUEPPEL, Finn; HARSDORFF, Florian"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H2,2,TUR,05:52.6,"KARTAL, Mert Kaan; KAYACAN, Onur; OR, Suha; ZEREN, Harun; KARADAYI, Deniz; CELIK, Caner; KOCAK, Koray; BOLUK, Dogsah; OLMEZ, Atakan"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H2,3,DEN,05:59.2,"BLANKE, Marcus; ANTONIE-HANSEN, Timothy; THOMASSEN, Sebastian; BJERG, Asbjorn; NIELSEN, Christian Due; KRAGH, Christian; PURO, Malthe; PETERSEN, Mads; EIGENBROD, Emil"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Heat,H2,4,BUL,06:08.2,"OVNAROV, Yoan; MITSEV, Nikifor; ATANASOV, Hristo; POPOV, Steliyan; KALINIKOV, Milcho; PAVLOV, Andrey; DANEV, Hristo; NESTOROV, Aleksandar; MANEV, Petar"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FA,1,ITA,05:47.8,"CARCANO, Guglielmo; BORSINI, Matteo; ABAGNALE, Giovanni; PAGANI, Niccolo; LOVISOLO, Luca; ZILERI, Pietro; LODO, Matteo; MANSUTTI, Alessandro; D'ANIELLO, Enrico"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FA,2,GER,05:49.6,"AURIN, Frederic; KORGE, Maximilian; KESSNER, Theo; HOERNSCHEMEYER, Matthias; WODRICH, Til-Malte; DABERKOW, Malte; KRUPPA, Jan; KNUEPPEL, Finn; HARSDORFF, Florian"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FA,3,GBR,05:50.2,"SHAW, Charles; MORLEY, Titus; MUNNO, Eduardo; GEORGE, Thomas; JONES, Callum; WYNNE-GRIFFITH, Oliver; BENSTEAD, Matthew; MARSHALL, Thomas; HENSHAW, Edward"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FA,4,ROU,05:50.2,"HODOROGEA, Florian; MARDARE, Alexandru-Vasilica; MIHALESCU, GHEORGHE-COSTEL; NEDELCU, George; BUICIAC, Pavel-Iulian; MACOVEI, Alexandru-Cosmin; RUSU, Danut-Viorel; IVASCU, Cristian; STOENICA, Laurentiu"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FA,5,USA,05:53.5,"CAPUTO III, Albert; WOOLLEY, Peter; DAVIS, Gregory; EBLE, Patrick; MUTO, Patrick; VAN ANDEL, Harrison; FRANCIS III, Adelbert; GOLDMAN, Julian; OVERFIELD, Peter"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FA,6,TUR,06:10.5,"KARTAL, Mert Kaan; KAYACAN, Onur; OR, Suha; ZEREN, Harun; KARADAYI, Deniz; CELIK, Caner; KOCAK, Koray; BOLUK, Dogsah; OLMEZ, Atakan"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FB,1,DEN,06:02.7,"BLANKE, Marcus; ANTONIE-HANSEN, Timothy; THOMASSEN, Sebastian; BJERG, Asbjorn; NIELSEN, Christian Due; KRAGH, Christian; PURO, Malthe; PETERSEN, Mads; EIGENBROD, Emil"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FB,2,SRB,06:04.9,"DIMITRIJEVIC, Uros; NOVAKOVIC, Nikola; KRLOVIC, Nikola; MILOVANOVIC, Dragisa; GAVRIC, Ljubomir; RISTIC, Marko; RAJIC, Zoran; PEJANOVIC, Luka; JOSIC, Mateja"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Final,FB,3,BUL,06:08.4,"OVNAROV, Yoan; MITSEV, Nikifor; ATANASOV, Hristo; POPOV, Steliyan; KALINIKOV, Milcho; PAVLOV, Andrey; DANEV, Hristo; NESTOROV, Aleksandar; MANEV, Petar"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Repechage,R,1,USA,05:49.1,"CAPUTO III, Albert; WOOLLEY, Peter; DAVIS, Gregory; EBLE, Patrick; MUTO, Patrick; VAN ANDEL, Harrison; FRANCIS III, Adelbert; GOLDMAN, Julian; OVERFIELD, Peter"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Repechage,R,2,ROU,05:54.5,"NECHIFOR, Bogdan-Constantin; MARDARE, Alexandru-Vasilica; DEDU, Gheorghe-Robert; STEFAN, Gabriel; MIHALESCU, GHEORGHE-COSTEL; NEDELCU, George; HODOROGEA, Florian; CIRGEA, Aurel-Stefan; STOENICA, Laurentiu"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Repechage,R,3,SRB,05:59.2,"DIMITRIJEVIC, Uros; NOVAKOVIC, Nikola; KRLOVIC, Nikola; MILOVANOVIC, Dragisa; GAVRIC, Ljubomir; RISTIC, Marko; RAJIC, Zoran; PEJANOVIC, Luka; ARVAI, Marko"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Repechage,R,4,BUL,06:05.5,"OVNAROV, Yoan; MITSEV, Nikifor; ATANASOV, Hristo; POPOV, Steliyan; KALINIKOV, Milcho; PAVLOV, Andrey; DANEV, Hristo; NESTOROV, Aleksandar; MANEV, Petar"
2012 World Rowing Championships,JM8+,Junior Men's Eight - Repechage,R,5,DEN,06:09.0,"BLANKE, Marcus; ANTONIE-HANSEN, Timothy; THOMASSEN, Sebastian; BJERG, Asbjorn; NIELSEN, Christian Due; KRAGH, Christian; PURO, Malthe; PETERSEN, Mads; EIGENBROD, Emil"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H1,1,ROU,06:01.8,"BUICIAC, Pavel-Iulian; MACOVEI, Alexandru-Cosmin; RUSU, Danut-Viorel; IVASCU, Cristian"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H1,2,GER,06:02.8,"STELLBERG, Leonard; SCHNEIDER, Jakob; WEISSENFELD, Johannes; USEN, Alexander"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H1,3,SLO,06:20.6,"JURSE, Tomaz; GROBELNIK, Matej; RAMSAK, Miha; FERLINC, Gasper"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H1,4,FRA,06:22.5,"GRANDONI, Guillaume; JEANDOT, Lucas; CHOCHEYRAS, Gael; CONSTANTINI, Adrien"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H1,5,UKR,06:37.8,"KOZODOI, Stanislav; BABCHENKO, Vitalii; TARASUK, Oleg; SOTNIKOV, Vitaliy"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H2,1,GBR,06:17.0,"WICKSTEAD, Robert; MCCUE, Lewis; LONERGAN, Harry; LLOYD, Alexander"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H2,2,DEN,06:27.2,"LEICHT, Fredrik; SUTTON, Joachim; DYRBY, Andreas; THOMSEN, Oliver"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H2,3,AUS,06:29.9,"HART, Matthew; LAWTON, Texas; DONALD, Liam; COYLE, Patrick"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H2,4,BUL,06:41.1,"ROMANOV, Ivaylo; KOLEV, Ivan; MOTERNIKOV, Ivan; KATSARSKI, Rangel"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H3,1,ITA,06:16.0,"OPPO, Stefano; DI SEYSSEL, Alberto; PIETRA CAPRINA, Lorenzo; DI GIROLAMO, Paolo"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H3,2,AUT,06:18.6,"SEIFRIEDBERGER, Christoph; QUERFELD, Ferdinand; LEHRER, Max; BOBIC, Mislav"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H3,3,CRO,06:20.1,"COGA, Antonio; LACA, Josip; KRAKIC, Ivo; VUKOVSKI, Matija"
2012 World Rowing Championships,JM4-,Junior Men's Four - Heat,H3,4,USA,06:27.1,"CHUTER, John; REITZ, Allen; CHUTER, Benton; HAILS, Ryan"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FA,1,ITA,06:12.4,"OPPO, Stefano; DI SEYSSEL, Alberto; PIETRA CAPRINA, Lorenzo; DI GIROLAMO, Paolo"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FA,2,ROU,06:12.4,"BUICIAC, Pavel-Iulian; MACOVEI, Alexandru-Cosmin; RUSU, Danut-Viorel; IVASCU, Cristian"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FA,3,GER,06:15.0,"STELLBERG, Leonard; SCHNEIDER, Jakob; WEISSENFELD, Johannes; USEN, Alexander"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FA,4,GBR,06:21.3,"WICKSTEAD, Robert; MCCUE, Lewis; LONERGAN, Harry; LLOYD, Alexander"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FA,5,SLO,06:30.7,"JURSE, Tomaz; GROBELNIK, Matej; RAMSAK, Miha; FERLINC, Gasper"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FA,6,AUT,06:38.6,"SEIFRIEDBERGER, Christoph; QUERFELD, Ferdinand; LEHRER, Max; BOBIC, Mislav"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FB,1,FRA,06:23.0,"GRANDONI, Guillaume; JEANDOT, Lucas; CHOCHEYRAS, Gael; CONSTANTINI, Adrien"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FB,2,DEN,06:25.3,"LEICHT, Fredrik; SUTTON, Joachim; DYRBY, Andreas; THOMSEN, Oliver"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FB,3,AUS,06:25.4,"HART, Matthew; LAWTON, Texas; DONALD, Liam; COYLE, Patrick"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FB,4,CRO,06:25.4,"COGA, Antonio; LACA, Josip; KRAKIC, Ivo; VUKOVSKI, Matija"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FB,5,BUL,06:25.7,"ROMANOV, Ivaylo; KOLEV, Ivan; MOTERNIKOV, Ivan; KATSARSKI, Rangel"
2012 World Rowing Championships,JM4-,Junior Men's Four - Final,FB,6,USA,06:25.8,"CHUTER, John; REITZ, Allen; CHUTER, Benton; HAILS, Ryan"
2012 World Rowing Championships,JM4-,Junior Men's Four - Repechage,R,1,FRA,06:23.6,"GRANDONI, Guillaume; JEANDOT, Lucas; CHOCHEYRAS, Gael; CONSTANTINI, Adrien"
2012 World Rowing Championships,JM4-,Junior Men's Four - Repechage,R,2,USA,06:24.4,"CHUTER, John; REITZ, Allen; CHUTER, Benton; HAILS, Ryan"
2012 World Rowing Championships,JM4-,Junior Men's Four - Repechage,R,3,BUL,06:26.7,"ROMANOV, Ivaylo; KOLEV, Ivan; MOTERNIKOV, Ivan; KATSARSKI, Rangel"
2012 World Rowing Championships,JM4-,Junior Men's Four - Repechage,R,4,UKR,06:28.5,"KOZODOI, Stanislav; BABCHENKO, Vitalii; TARASUK, Oleg; SOTNIKOV, Vitaliy"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 1,1,ROU,06:08.8,"BUICIAC, Pavel-Iulian; MACOVEI, Alexandru-Cosmin; RUSU, Danut-Viorel; IVASCU, Cristian"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 1,2,GBR,06:11.3,"WICKSTEAD, Robert; MCCUE, Lewis; LONERGAN, Harry; LLOYD, Alexander"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 1,3,AUT,06:18.9,"SEIFRIEDBERGER, Christoph; QUERFELD, Ferdinand; LEHRER, Max; BOBIC, Mislav"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 1,4,FRA,06:20.8,"GRANDONI, Guillaume; JEANDOT, Lucas; CHOCHEYRAS, Gael; CONSTANTINI, Adrien"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 1,5,AUS,06:33.0,"HART, Matthew; LAWTON, Texas; DONALD, Liam; COYLE, Patrick"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 1,6,BUL,06:38.8,"ROMANOV, Ivaylo; KOLEV, Ivan; MOTERNIKOV, Ivan; KATSARSKI, Rangel"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 2,1,GER,06:11.2,"STELLBERG, Leonard; SCHNEIDER, Jakob; WEISSENFELD, Johannes; USEN, Alexander"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 2,2,SLO,06:16.5,"JURSE, Tomaz; GROBELNIK, Matej; RAMSAK, Miha; FERLINC, Gasper"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 2,3,ITA,06:20.9,"OPPO, Stefano; DI SEYSSEL, Alberto; PIETRA CAPRINA, Lorenzo; DI GIROLAMO, Paolo"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 2,4,CRO,06:23.6,"COGA, Antonio; LACA, Josip; KRAKIC, Ivo; VUKOVSKI, Matija"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 2,5,DEN,06:23.8,"LEICHT, Fredrik; SUTTON, Joachim; DYRBY, Andreas; THOMSEN, Oliver"
2012 World Rowing Championships,JM4-,Junior Men's Four - Semifinal,SA/B 2,6,USA,06:32.4,"CHUTER, John; REITZ, Allen; CHUTER, Benton; HAILS, Ryan"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H1,1,GRE,06:52.1,"KOUSKOURIDAS, Michail; TSIALIOS, Athanasios"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H1,2,CZE,06:56.1,"HUMPOLEC, Michael; NOVY, Michal"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H1,3,CRO,06:57.8,"TOMIC, Gabriel; ANZULOVIC, Lovro"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H1,4,RSA,07:06.0,"NEL, Laurence; ODGERS, Jamie"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H1,5,BRA,07:06.4,"MENDES, Francisco; SARTORI JUNIOR, Altenir"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H1,6,UKR,07:14.2,"CHERKASHYN, Andrii; DZYHYREI, Rostyslav"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H2,1,SRB,07:01.9,"LONCAREVIC, Igor; SLJUKIC, Andrija"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H2,2,BEL,07:10.8,"VANDENDRIESSCHE, Keanu; LAMBREGT, Lukas"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H2,3,CHI,07:12.4,"GRECO VELASQUEZ, Luciano; LEIVA JARAMILLO, Sebastian"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H2,4,SWE,07:14.8,"NILSSON, Filip; SVENSSON, Oskar"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H2,5,DEN,07:20.1,"TAULBJERG, Frederik; FISCHER, Mads"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H2,6,MDA,07:25.4,"JANDIC, Alexei; PERENDISLI, Maxim"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H3,1,ROU,06:47.0,"ANICULESEI, Neculai; MARIUC, Dumitru"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H3,2,GER,06:53.8,"BERNHARD, Jan; JOHANNESEN, Torben"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H3,3,POL,06:58.0,"KRAWITOWSKI, Damian; ZAPOROWSKI, Michal"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H3,4,IRL,06:59.1,"BLACK, Christopher; CASSELLS, Joel"
2012 World Rowing Championships,JM2-,Junior Men's Pair - Heat,H3,5,EST,07:13.7,"THOMSON, Karl-Henry; VILUMAA, Priidik"
