competition,event,race,code,position,nationality,time,crew
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 2,3,ITA,06:35.3,"OPPO, Stefano; DI GIROLAMO, Paolo"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 2,4,CZE,06:35.4,"KOPAC, Jiri; VRASTIL JR, Miroslav"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 2,5,TUR,06:35.5,"YILMAZ, Cem; YUMRUKAYA, Ahmet"
2014 European Rowing Championships,LM2-,Lightweight Men's Pair - Semifinal,SA/B 2,6,POR,06:47.7,"FERNANDES DA VEIGA, Paulo; GONCALVES COELHO, Nuno"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H1,1,GBR,07:03.9,"FREEMAN-PASK, Adam"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H1,2,DEN,07:05.9,"BENDTSEN, Andrej"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H1,3,SLO,07:06.7,"HRVAT, Rajko"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H1,4,AZE,07:16.0,"AFANDIYEV, Javid"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H1,5,CZE,07:22.8,"CABLA, Petr"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H2,1,SUI,07:00.0,"SCHMID, Michael"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H2,2,GRE,07:01.0,"MAGDANIS, Panagiotis"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H2,3,HUN,07:01.3,"MATYASOVSZKI, Daniel"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H2,4,SRB,07:13.7,"STANOJEVIC, Milos"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H2,5,SVK,07:27.0,"REZNAK, Marek"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H3,1,ITA,06:56.9,"MIANI, Marcello"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H3,2,BUL,06:59.4,"VASILEV, Nedelcho"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H3,3,IRL,07:02.2,"O'DONOVAN, Paul"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H3,4,FRA,07:07.0,"PILAT, Alexandre"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H3,5,TUR,07:16.6,"KUSKU, Enes"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H4,1,POR,06:56.4,"FRAGA, Pedro"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H4,2,GER,07:02.7,"LAWITZKE, Daniel"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H4,3,CRO,07:05.1,"RADONIC, Luka"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H4,4,NED,07:05.2,"KLOMP, Daan"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Heat,H4,0,ARM,00:00.0,"SARGSYAN, Makar"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FA,1,POR,06:51.7,"FRAGA, Pedro"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FA,2,ITA,06:54.4,"MIANI, Marcello"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FA,3,SUI,06:56.4,"SCHMID, Michael"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FA,4,DEN,06:57.8,"BENDTSEN, Andrej"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FA,5,GBR,07:00.9,"FREEMAN-PASK, Adam"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FA,6,GER,07:01.7,"LAWITZKE, Daniel"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FB,1,GRE,07:00.2,"MAGDANIS, Panagiotis"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FB,2,SRB,07:02.4,"STANOJEVIC, Milos"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FB,3,SLO,07:03.0,"HRVAT, Rajko"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FB,4,HUN,07:04.2,"MATYASOVSZKI, Daniel"
2014 European Rowing Championships,LM1x,Lightweight Men's Single Sculls - Final,FB,5,BUL,07:10.0,"VASILEV, Nedelcho"
