Race No,Event Name,Race Type,Position,Lane Number,Club Code,Club Name,Crew List
59,Eights Tier 3,Heat 3,6,1,KCL (A),King's Coll Lon,"Simon Deacon, William Masters, Matthew Fish, Erik Habich, Josh Funnell, Guglielmo La Torre, Alexander Stevens, James Gregory, [Cox] Jasper Couper"
60,Lightweight Single Sculls,Final,1,4,LDR,Leander Club,Jonathan Jackson
60,Lightweight Single Sculls,Final,2,5,ZQU,Queens Belfast,Miles Taylor
60,Lightweight Single Sculls,Final,3,2,ZNU,NUI Galway BC,Tom Dillon
60,Lightweight Single Sculls,Final,4,6,CNN,Cambridge 99,Henk-Jaap Wagenaar
60,Lightweight Single Sculls,Final,5,3,CHR,Christchurch RC,Joseph Livy
60,Lightweight Single Sculls,Final,6,7,TRC,Thames RC,Philip Lee
61,Women's Junior 18 Quad Sculls,Heat 1,1,5,LTU,Latymer Upper,"Madeline Lloyd, Mia Thomas, Georgina Seal, Phoebe Ransom"
61,Women's Junior 18 Quad Sculls,Heat 1,2,4,GLB,Globe RC,"Nomeda Laukyte, Siobhan Samuel, Leila Bernstein, Julia Olawumi"
61,Women's Junior 18 Quad Sculls,Heat 1,3,2,CNN/ IEL/ KSE,Cambridge 99/ Isle of Ely RC/ ...,"Rebecca Garrett (KSE), Freya Dingwall (IEL), Olivia Morgan (CNN), Holly Lancaster (KSE)"
61,Women's Junior 18 Quad Sculls,Heat 1,4,3,TRC,Thames RC,"Thais Umbelino-Purton, Gaby Munyard, Jemima Price, Chloe Knight"
61,Women's Junior 18 Quad Sculls,Heat 1,5,6,MBC,Molesey BC,"Daisy Leppard, Abi Ferguson, Rachel Dunford, Isabella Roper"
62,Women's Junior 18 Quad Sculls,Heat 2,1,4,IEL,Isle of Ely RC,"Helena O'Donnell, Rebecca Welch, Kate Lyster, Molly Johnson"
62,Women's Junior 18 Quad Sculls,Heat 2,2,2,SWP,W Perkin's Sch,"Emily Baker, Emily Keen, Emma Fountain, Annabelle Taylor"
62,Women's Junior 18 Quad Sculls,Heat 2,3,4,SPG,St Paul's Girls,"Helen Elizabeth Kirkpatrick, Lara Emma Catherine Valt, Nicola kate Lawless, Aurelia Cowan"
62,Women's Junior 18 Quad Sculls,Heat 2,4,5,WRR,Worcester RC,"Alisha Bull, Daisy Price, Elizabeth Shaw, Becky Silvester"
63,Women's Eights Championship,Heat 1,1,4,MBC,Molesey BC,"Emma McDonald, Caitlin Boyland, Gabby Rodriguez, Elo Luik, Lucy Primmer, Ruth Whyman, Rebecca Edwards, Katie Bartlett, [Cox] Morgan Baynham-Williams"
63,Women's Eights Championship,Heat 1,2,1,ZCR,Commercial RC,"Martina Bracken, Edel Gary, Gill Crowe, Gillian Hosford, Naomi Fearon, Hazel O'Neill, Sinead Dolan, Ruth Morris, [Cox] niamh williams"
63,Women's Eights Championship,Heat 1,3,3,DUB (A),Durham Univ,"Francesca Quinn, Maya Nickituk, Megan Lillington, Kate Lillington, Amy Polglase, Ellen Roberts, Lucinda Ellaway-Bell, Helena Louise Lang, [Cox] Abigail Riley"
63,Women's Eights Championship,Heat 1,4,2,TRC (A),Thames RC,"Clodagh Loughnane, Charlotte Orrell, Helen Carswell, Rose Bernard, Sarah Newton, Katrine Eskander, Katherine Woodward, Flora Emeney, [Cox] Nathalie Kernan"
63,Women's Eights Championship,Heat 1,5,6,AGE,Agecroft RC,"Frances Barrand, Camilla O'Driscoll, Kate Silverthorne, Grace Miller, Charlotte Walsh, Florence Morton, Alexandra Gardiner, Charlotte Grandfield, [Cox] Marion Vannier"
63,Women's Eights Championship,Heat 1,6,5,AKN (B),Auriol Ken,"Anne Schieck, Marianna Raffaele, Mateja Sborchia, Kathleen Cyr, Kirsty Page, Amanda Piggot, Sophie Lovett, Catherine Edwards, [Cox] Isy Marshall"
64,Women's Eights Championship,Heat 2,1,6,NEW (B),Newcastle Univ,"Phoebe Truett, Sundee Denton-Chandler, Anna Van de Braak, Charlotte Dobson, Leanne Knight, Kate Woolley, Kathryn Eccles, Lucy Stanhope, [Cox] Charlotte Hill"
64,Women's Eights Championship,Heat 2,2,5,TSS (B),Tideway Sc Sch,"Holly Smith, Catherine O'Riordan, Kate Thorne, Alicia Keith, Ellenor Peebles, Cecilia Ricks, Sally Trump, Katie Potter, [Cox] Sophie Shapter"
64,Women's Eights Championship,Heat 2,3,3,NEW (A),Newcastle Univ,"Fiona Chestnutt, Harriet Aubrook, Lydia Davis, Frances Russell, Katherine Bulmer, Leah Kindleyside, Harriet Roddy, Rachel Webb, [Cox] Sophie Bury"
64,Women's Eights Championship,Heat 2,4,1,UBR (A),Bristol Univ,"Cecilia Assmundson, Phoebe Beer, Alice Davies, Charlotte Greenwood, Sally Elphick, Alice Lovett, Nathalie Rappaport, Jessica Pope, [Cox] Sophia Margetts"
64,Women's Eights Championship,Heat 2,5,2,LEH,Lady E Holles,"Elizabeth Henshaw, Katie Benson, Alice Snelling, Clare Jackson, Verity Cole, Katerina Taylor, Emma Breeze, Celia Matthews, [Cox] Jiyaraj Saggu"
64,Women's Eights Championship,Heat 2,6,4,FUL,Fulham Reach,"Sally Hodgson, Emma Rogers, Fay Sandford, Georgina Phillips, Elizabeth Cottrell, Beatrix Sheldrick, Jenny Arnold, Fiona Schlesinger, [Cox] S Tjornelund"
65,Eights Tier 5,Heat 1,1,5,BAU,Bath Univ,"Henry Jones, Charlie Parker, Ben Pickford, Matthew Moore, Matthew Horsford, Marcus Lewis, William England, Thomas Bowles, [Cox] Daniel Baillache"
65,Eights Tier 5,Heat 1,2,4,NOR (B),Norwich RC,"Oliver Roe, Ed English, Oli Tyler, Carey Pearson, Carl Shiplee, Jake Kattenhorn Black, Toby Trett, Oliver Negus, [Cox] Darwin Columbus Friend"
65,Eights Tier 5,Heat 1,3,6,LEE (B),Leeds RC,"Andrew Walker, Mark Tarrant, Lewis Marston, Conor Vincent, James Tipper, Daniel Humphrey, Vasileios Athanasiadis, Theodosios Travlos, [Cox] Jasmine Jones"
65,Eights Tier 5,Heat 1,4,2,ZCD (B),University Coll Dublin RC,"Ben Layden, Thomas O Reilly, Thomas Birmingham, Robbie Glynn, Andrew Mays, Finnian Shilling, O Sullivan Cian, Tim Burke, [Cox] Caoimhe Fitzgerald"
65,Eights Tier 5,Heat 1,5,3,TYN,Tyne RC,"Michael Dodds, George Starr, Joshua Bate, Peter Storey, Serkan Turkmen, A J Musgrave, Danny Hunter, Henry Galbraith, [Cox] Rosie Connolly"
65,Eights Tier 5,Heat 1,6,1,UBR (C),Bristol Univ,"Sean Alexander, Joseph Mallet, Louis Heath, Jack Fradd, George Kilgour, James Hogben, Harry Baker, Angus Firth, [Cox] Shona Wilcox"
65,Eights Tier 5,Heat 1,7,7,KCL (C),King's Coll Lon,"Ayush Joshi, Jack Mulekezi, Guy Anderson, Talyn Jones, Rory Swan, Derek Watson, Luke Lyons, Frederic LÃ©on Ritter, [Cox] Bethan Grech"
66,Eights Tier 5,Heat 2,1,1,UWE,W England Univ,"Aghaude Amadi, Edward Dean, Benjamin Stafford, Will Lord, Liam Hopkins, Robert Bonham, Andrew Heath, Tim Waller, [Cox] Freya Jennings"
66,Eights Tier 5,Heat 2,2,4,NTU,Nottm Trent,"Callum Donington, James Beagles, Adam Swain, Guy Woolford, Yiana Shakespeare, Edd Maryon, Samuel Geller, Edward Stracey, [Cox] Joe Elliott"
66,Eights Tier 5,Heat 2,3,3,CCS,Claires Court,"Alex Jackson, Ben Broadhead, Alexander Getley, Raamie Falck Award, Oliver Hill, Toby Yate, Adam Fairley, Ben Forster, [Cox] Charles Nash"
66,Eights Tier 5,Heat 2,4,5,MHD,Maidenhead RC,"Gabriel Jennings, Jack Cox, Bradley Halloran, Jonathan Ballard, Matthew Edmundson, Ben Edgar-Whelan, Timothy Rumary, Sam McCoriston, [Cox] Tegan Pereira-Rego"
66,Eights Tier 5,Heat 2,5,6,KCL (B),King's Coll Lon,"Hugo Thomas, James Lee, Alexander Woodhouse, Daniil Baryshnikov, Matthew Evans, Ali Atun, Kit Mersey, Nikolai Horozov, [Cox] Eleanor Gosney"
66,Eights Tier 5,Heat 2,6,2,ZDU (C),Dublin University BC,"Robbie White, Conor Phelan, Raja Sleiman, Ciaran Donegan, Paul Kennedy, Dylan O'Halloran, Isaac Brickenden, Andrew Finnerty, [Cox] Arne Philipeit"
67,Coxed Fours Tier 2,Heat 1,1,2,ZNU (A),NUI Galway BC,"Brion O'Rourke, Eoghan Whittle, Jack Bennett, Oisin Nolan, [Cox] Cathal McNamara"
67,Coxed Fours Tier 2,Heat 1,2,5,KRC (A),Kingston GS/ Kingston RC,"Cameron Spurling, Hal Bedford-Payne, Andrew Bedford, George Fellows, [Cox] Adele Hing"
67,Coxed Fours Tier 2,Heat 1,3,4,ULO,London Univ,"Matthew Denley, Andrew Holm, Frederick Smart, Archie Hilder, [Cox] Megan Neville"
67,Coxed Fours Tier 2,Heat 1,4,3,SUA (B),Stratford Avon,"Edward Lewry, Thomas Coles, Ben Twiney, Christopher Thomas, [Cox] Eleanor Willetts"
67,Coxed Fours Tier 2,Heat 1,5,1,TAU,Taurus BC,"Samuel Bannister, Rob Edmondson, Edward Grisedale, Richard Hawkins, [Cox] John Carlson"
67,Coxed Fours Tier 2,Heat 1,6,6,VRC (B),Vesta RC,"Sebastian Wachholz, Luca Turner, Christopher Goodfellow, Alan Hunton, [Cox] Nicola Sani"
68,Coxed Fours Tier 2,Heat 2,1,4,TRC (A),Thames RC,"Thomas Foad, Marc Cox, Thomas Portsmouth, Zack Youell, [Cox] Lesley Vowles"
68,Coxed Fours Tier 2,Heat 2,2,3,USU,Surrey Univ,"Jonas Butvilas, Alex Law, Harry Grassom, Andrew Stevenson, [Cox] Tsolo Swan"
68,Coxed Fours Tier 2,Heat 2,3,1,MBC (B),Molesey BC,"Andy Warren, Rhys Westall, Kenneth Gray, Andrew Turner, [Cox] Jonna de Vries"
68,Coxed Fours Tier 2,Heat 2,4,2,ZNU (E),NUI Galway BC,"Baptiste Guerinot, Gerry Mannion, Alex Chadfield, Kai McGlacken, [Cox] Shannon Sheridian"
68,Coxed Fours Tier 2,Heat 2,5,5,UBR,Bristol Univ,"Thomas Nicholson, Callum Gathercole, Jack Squizzoni, Harry Stroud, [Cox] Jennifer Cocke"
69,Coxless Pairs Championship,Heat 1,1,4,HEN,Henley RC,"Michael Nagi, David Lambourn"
69,Coxless Pairs Championship,Heat 1,2,5,IMP (A),Imperial Coll,"Jonathan Edwards, Alister Fraser"
69,Coxless Pairs Championship,Heat 1,3,3,IMP (B),Imperial Coll,"A Ball, Edward Bentley"
69,Coxless Pairs Championship,Heat 1,4,6,SCU (A),Strathclyde U,"Edward Ayton, Calum Young"
70,Coxless Pairs Championship,Heat 2,1,4,MBC,Molesey BC,"George Stewart, Alastair Douglass"
70,Coxless Pairs Championship,Heat 2,2,2,ZUC (A),University Coll Cork RC,"Steven Murphy, David Synnott"
70,Coxless Pairs Championship,Heat 2,3,5,IMP (D),Imperial Coll,"Luke Whiting, James Harrison"
70,Coxless Pairs Championship,Heat 2,4,3,DUB (D),Durham Univ,"Patrick Kinch, Max Robinson"
71,Women's Coxed Fours Tier 4,Heat 1,1,4,USU,Surrey Univ,"Holly Stemp, Anika Piezka, Megan Pearson, Hariette Case, [Cox] Joanna Walker"
71,Women's Coxed Fours Tier 4,Heat 1,2,6,BAU,Bath Univ,"Kimberley Ertl, Zara Mulholland, Ella Shilliday, Hannah Slater, [Cox] Ella Flanagan"
71,Women's Coxed Fours Tier 4,Heat 1,3,7,LEE (B),Leeds RC,"Jessica Brush, Charlotte Milligan, Ella Sadler-Andrews, Emily Holt, [Cox] Harin Wijayathunga"
71,Women's Coxed Fours Tier 4,Heat 1,4,3,LTU,Latymer Upper,"Grace Boettcher, Anna Marshall, Maya Fabrizio, Selena Jones, [Cox] Leah Thomas"
71,Women's Coxed Fours Tier 4,Heat 1,5,5,WRU,Worcester Univ,"Rachael Elmes, Hayley Arthrell, Emily Clutterbuck, Sophie Everett, [Cox] Caitlin Wallace"
71,Women's Coxed Fours Tier 4,Heat 1,6,1,WRR,Worcester RC,"Madeleine Fisher, Imogen Ledbetter, Natalie Thornton, Sophie Stoddart, [Cox] Emily Glazzard"
71,Women's Coxed Fours Tier 4,Heat 1,7,2,ZDT (D),Dublin U Ladies,"Sophie Cairns, Ciara Kiely, Saidhbhe Casey, Brona Murphy, [Cox] Clare White"
72,Women's Coxed Fours Tier 4,Heat 2,1,6,ZNU (A),NUI Galway BC,"Aisling Nolan, Ailbhe Griffin, Sorcha O'Donnell, Siuan Mannion, [Cox] Johanna Walsh"
72,Women's Coxed Fours Tier 4,Heat 2,2,2,ZDT (C),Dublin U Ladies,"Susie O' Neill, Ellen Clohessy, Maria Kennedy, Aine Kennedy, [Cox] Aoife Reid"
72,Women's Coxed Fours Tier 4,Heat 2,3,1,GLT (B),Godolphin Lat,"Libby Bryant, Madeleine Macbeth, Emily Gustafsson, Madeline Grussing, [Cox] Tazeena Thorowgood"
72,Women's Coxed Fours Tier 4,Heat 2,4,5,ZCK,Cork BC,"Claire Ryan, Valerie O'Driscoll, Aisling O'Leary, Jessica McCarthy, [Cox] Mary Aird"
72,Women's Coxed Fours Tier 4,Heat 2,5,3,CFU,Cardiff Univ,"Heather Stewart, Imogen Freethy, Lauren Wareham, Anita Rozenvalde, [Cox] Megan Walker"
72,Women's Coxed Fours Tier 4,Heat 2,6,4,BOU,Bournemouth Un,"Jessica Pyne, Jennifer Rose, Bethany Dyer, Polly Humphrey, [Cox] Maia Jordan"
73,Women's Eights Tier 3,Heat 1,1,7,ZDT (A),Dublin U Ladies,"Nora Fisher, Sarah Kelly, Aoife Corcoran, Caoimhe Dempsey, Aoife Byrne, Gemma Foley, Laura Walsh, Sarah Higgins, [Cox] Aoife Reid"
73,Women's Eights Tier 3,Heat 1,2,6,DUB (B),Durham Univ,"Samantha Bousfield, Anna Thomas, Emma Cramp, Anna van der Star, Alicia Schwarzenbach, Eva Siwiak-Jaszek, Megan Connolly, Harriet Watson, [Cox] Zoe Evans"
73,Women's Eights Tier 3,Heat 1,3,4,CBR (B),Bristol City,"Emma Greenhow, Rebecca Harnett, Jenna Randall Smith, ELLEN GRIST, Annabel Young, Eimear McGeehan, Andreea Paraschivescu, Rosie Oates, [Cox] Paddy Davison"
73,Women's Eights Tier 3,Heat 1,4,5,ZDT (D),Dublin U Ladies,"Ruthie McHugh, Jane Hogg, Aideen Fay, Aoife McGranaghan, Molly Brennan, Gabriele Gusciute, Anna Mangan, Ellen Murphy, [Cox] Clare White"
73,Women's Eights Tier 3,Heat 1,5,3,GLU,Glasgow Univ,"Rebeccas Perry, Jane MacGregor, Kirsty Naismith, Aliese Steinhart, Izzy MacDonald, Amy Tulloch, Nina Gray, Elizabeth Barriero, [Cox] Stuart Mitchell"
73,Women's Eights Tier 3,Heat 1,6,1,VRC (C),Vesta RC,"Victoria Smith, Claire Mackay, Stephanie Withers, Chloe Speller, Mikaela Blowing, Sophie Hoult, Alice Hoskins, Tahlia Madden, [Cox] Charlotte Kippax"
74,Women's Eights Tier 3,Heat 2,1,2,ZGY,Galway RC,"Ruth Elwood, Kellie-Ann Folan, Isabella McDonald, Roisin Cahill, Kellie Wade, Amy Sims, Claire Elwood, Fiona Murtagh, [Cox] Sarah Lynch"
74,Women's Eights Tier 3,Heat 2,2,3,EXU,Exeter Univ,"Sophie Ackert, Julia Bradley, Ella Armstrong, Arabella Weetch, Emily Batchelor, Caitlin Kickham, Samantha Over, Sophie Taylor, [Cox] Sophie Wrixon"
74,Women's Eights Tier 3,Heat 2,3,6,NUN,Nottm & Union,"Jasmine Michalowska, Clodagh Gallagher, Amy Fenoulhet, Alice Williams, Mary Bryant Jeans, Heather Lund, Hannah Walker, Isobel Pullinger, [Cox] Laura Stops"
74,Women's Eights Tier 3,Heat 2,4,4,COX (A),Oxford City,"Isobel Diment, Caroline Barnes, Emily Lyons, Ella Cope, Tabitha Peel, Jodie Buswell, Gwenn-AÃ«l CarrÃ©, Naomi Sharma, [Cox] Dhaval Desai"
74,Women's Eights Tier 3,Heat 2,5,1,ULO,London Univ,"Hannah Lidbetter, Amelie Peiker, Esme Jones, Annabel Strachan, Jenny Budden, Alexandra Courage, Jessica Milborne, Martina Larsson, [Cox] Tanya Hossain"
74,Women's Eights Tier 3,Heat 2,6,5,PTR,Putney Town,"Laura Tompkins, Joely Dicks, Laura Peck, Lauren Buchanan, Francesca Lawley, Melanie Perkins, Georgina Killick, Jade Gowan, [Cox] Tanya Bates"
75,Junior 18 Quad Sculls,Final,1,4,CCS,Claires Court,"Jack Jesseman, Henry Osborne, Callum Perera, Oliver Costley"
75,Junior 18 Quad Sculls,Final,2,5,GLB (A),Globe RC,"Sam Baker, Callum Sullivan, Jake Offiler, Dominic Sullivan"
75,Junior 18 Quad Sculls,Final,3,3,TSS (A),Tideway Sc Sch,"Laurence Joss, Cameron Christie, Luke Hatteland-Dunn, Marcus Jonas"
75,Junior 18 Quad Sculls,Final,4,7,LEA,Lea RC,"Anthony Duncalf, Morton Sommerville Yesufu, Becan Donald, Alexander Badcott"
75,Junior 18 Quad Sculls,Final,5,6,MHD (A),Maidenhead RC,"Harrison Rowe, Elliott Kemp, Edoardo Marshall, Victor Kleshnev"
75,Junior 18 Quad Sculls,Final,6,2,WES,Westminster Sch,"George Hockey, Will Dubin, William Allen, Pedro Santos"
76,Single Sculls Tier 5,Heat 1,1,4,GRF,Greenbank,Timothy Wilkinson
76,Single Sculls Tier 5,Heat 1,2,1,CFC,Cardiff City RC,George Cowley
76,Single Sculls Tier 5,Heat 1,3,5,GRO,Grosvenor RC,Connor Weaver
76,Single Sculls Tier 5,Heat 1,4,6,DUB,Durham Univ,Neil Connell
76,Single Sculls Tier 5,Heat 1,5,2,SCU,Strathclyde U,Christopher Parsonage
77,Single Sculls Tier 5,Heat 2,1,4,DUB,Durham Univ,Montague Norman
77,Single Sculls Tier 5,Heat 2,2,3,NWK,Newark RC,Oliver Saunders
77,Single Sculls Tier 5,Heat 2,3,5,DUB,Durham Univ,Ryan Todhunter
77,Single Sculls Tier 5,Heat 2,4,2,GLW,Glasgow RC,LukÃ¡Å¡ Melichar
77,Single Sculls Tier 5,Heat 2,5,6,RNY,Navy & Marines,Andy Matheson
78,Women's Coxed Fours Tier 2,Heat 1,1,5,ULO,London Univ,"Anna Collins, Holly Exton-Smith, Amber Pierce, Olivia Rogerson, [Cox] Lauren Holland"
78,Women's Coxed Fours Tier 2,Heat 1,2,4,UTC,Upper Thames RC,"Gabriella Halloran, Emma Peacock, Rhianna Cearns, Sally Pollok-Morris, [Cox] Zoe Thomas"
78,Women's Coxed Fours Tier 2,Heat 1,3,3,BBL,Barnes Br LRC,"Clemmy Fontaine, Cara Cahill, Sarah Thompson, Laura Oakley, [Cox] Anna Costantini"
78,Women's Coxed Fours Tier 2,Heat 1,4,2,TSS (B),Tideway Sc Sch,"Jennifer Scrine, Rachel Scanlan, Kate Thorne, Katya De Gentile-Williams, [Cox] Jessica Saunders"
78,Women's Coxed Fours Tier 2,Heat 1,5,1,ZUC,University Coll Cork RC,"Ellen Desmond, Clara Rowe-Ham, Fiona O'Keefe, Katie Nagle, [Cox] Cormac O'Connell"
79,Women's Coxed Fours Tier 2,Heat 2,1,2,KCL,King's Coll Lon,"Danielle Wilcock, Molly Hackett, Amy Kilby, Stephanie Stone, [Cox] Manuela de Mendonca"
79,Women's Coxed Fours Tier 2,Heat 2,2,3,PTR (A),Putney Town,"Rachel Dean, Deborah Oakley, Catriona Docherty, Sophie Bluff, [Cox] Heather Longstaff"
79,Women's Coxed Fours Tier 2,Heat 2,3,5,COX (A),Oxford City,"Louisa Taylor, Lucy Martin, Caitlin Armstrong, Corinne Larkworthy, [Cox] Suzanna Drohan"
79,Women's Coxed Fours Tier 2,Heat 2,4,4,MBC,Molesey BC,"Emma Boyns, Phoebe Bradbury, Lydia Cronin, Amber Hickson, [Cox] Ana Yong"
79,Women's Coxed Fours Tier 2,Heat 2,5,6,TRC (B),Thames RC,"Laura Phillips, Lucy Thomas, Anna Harrison, Louisa Currey, [Cox] Alastair Jackson"
80,Eights Championship,Heat 1,1,5,TRC (A),Thames RC,"Alex Morris, Ian Hurley, Samuel Barnes, Orlando Nixon, Skye Landon, Ben Thomas, William Moorhouse, Thomas Phelps, [Cox] Vlad Saigau"
80,Eights Championship,Heat 1,2,3,ULO (A),London Univ,"Ben Freeman, James Richards, Alex Steventon, Max Townley, Joshua Tolley, Patrick Boomer, Joshua Kent, Patrick Sullivan, [Cox] Rajaei Sharma"
80,Eights Championship,Heat 1,3,2,LRC (A),London RC,"Matthew Reeder, Dylan Wing, Todd Hale, Thomas Neeld, Tom Monaghan, Jamie Saunders, Sebastien Thomas, Lucas Vitale, [Cox] Kim Wilkinson"
80,Eights Championship,Heat 1,4,6,CUR (A),Curlew RC,"John Stewart, Angus Wilson, Lukas Schmidt, Callum Stayton, Eoghan Beamish, Alexander James Parsons-Mills, T Weekes, Matthew Richardson, [Cox] Nicola Freeman"
80,Eights Championship,Heat 1,5,4,MBC (B),Molesey BC,"Fraser Steel, Laurence Ellis, Felix Warren, Ollie Stanhope, William Johnston, Jake Greig, Matthew Hardy, Theo Darlow, [Cox] Scott Cockle"
80,Eights Championship,Heat 1,6,7,KRC,Kingston RC,"Tom Hopkins, Matthew McWilliam, Ben Handy, Thomas Rawlins, Jonathan Webber, Peter Wales, Nick Pepper, Sam Tunbridge, [Cox] Prudence Seaward"
81,Eights Championship,Heat 2,1,1,WIN,Winchester Coll,"Dent Goodman, Alex Wythe, William Passmore, Hugo Durward, Oliver Le May, Milford Killian-Dawson, Tobias SchrÃ¶der, Luke Robinson, [Cox] Gabriel Cuaycong"
81,Eights Championship,Heat 2,2,6,WES,Westminster Sch,"Baptiste Bouvier, Mathijs Deetman, Nicholas Cowling, Jake Swann, Alexander Green, Reginald Mitchell, Henry Jones, George Middleton, [Cox] Hugh Spaughton"
81,Eights Championship,Heat 2,3,2,ETN (B),Eton Coll,"Charles Pearson, Alexander Boardman, Francis Baring, Noah Norman, Patrick Adams, Felix Drinkall, Oscar Carr-Middleton, Max Ridgewell, [Cox] George Cozens"
81,Eights Championship,Heat 2,4,5,HAM (A),Hampton Sch,"Matthew Hamilton, Matthew Turner, Tom Davis, Rory Gilligan, Edward Butler, Thomas Worthington, Tom Cross, Piero Ladhur, [Cox] Charlie Marcus"
81,Eights Championship,Heat 2,5,4,ULO (B),London Univ,"Stuart Pearce, Hendrik Kroon, Toby Langstone, Charles Middleton, Alexander Fisher, Will Carey, Thomas Bruce, Guy Screaton, [Cox] Harry Peters"
81,Eights Championship,Heat 2,6,3,LEA,Lea RC,"James Stanier, Thomas Wei, Max James Beverton, Ross McDonald, Hugh Berry, Anthony Brewer, Evan Whittal-Williams, Emilio Hernandez, [Cox] Richard Hill"
82,Coxless Fours Tier 2,Heat 1,1,1,LDR (B),Leander Club,"Charles Waite-Roberts, Edward Gleadowe, Richard Clarke, Jamie Kirkwood"
82,Coxless Fours Tier 2,Heat 1,2,2,ZNU (A),NUI Galway BC,"Liam Keane, Mantis Pukelis, Kevin Nevile, Richard Bennett"
82,Coxless Fours Tier 2,Heat 1,3,3,COX (A),Oxford City,"Simon Kerswell-Jensen, William Clarke, Matthew Jones, Malcolm Nisbet"
82,Coxless Fours Tier 2,Heat 1,4,5,IMP,Imperial Coll,"Paul Jones, Carlos Schuster, Wilf Kimberley, Florian Herbst"
82,Coxless Fours Tier 2,Heat 1,5,4,MAR,Marlow RC,"Oliver Poynton, Adrian Gurney, Graham Farr, Michael Durham"
82,Coxless Fours Tier 2,Heat 1,6,6,LRC (B),London RC,"James Sexton-Barrow, Luis Orozco, Jack Davidson, Rupert Price"
83,Coxless Fours Tier 2,Heat 2,1,2,ZCD,University Coll Dublin RC,"Joe Ronaldson, Colm O'Riada, Tiarnan Doherty, Max Murphy"
83,Coxless Fours Tier 2,Heat 2,2,3,FUL,Fulham Reach,"Edward Birrell, Ross De Burgh, James Diaz-Sokoloff, Ben Bathurst"
83,Coxless Fours Tier 2,Heat 2,3,5,CBR (A),Bristol City,"Cameron Smith, James Wadsworth, Will Japp, Edward Piercy"
83,Coxless Fours Tier 2,Heat 2,4,6,CUR (B),Curlew RC,"Connor Austin, Toby Churchus, Alexander Gibbons, Michael Scott"
83,Coxless Fours Tier 2,Heat 2,5,4,NSH,Nonesuch BC,"H Cooper, Charles Lewis, Jonathan McCann, Chris Heywood"
84,Women's Single Sculls Tier 3,Heat 1,1,5,LER,Leicester RC,Sophie Connolly
84,Women's Single Sculls Tier 3,Heat 1,2,3,TSS,Tideway Sc Sch,Gabby Cutler
84,Women's Single Sculls Tier 3,Heat 1,3,6,CAB,Cantabrigian RC,Georgina Plunkett
84,Women's Single Sculls Tier 3,Heat 1,4,1,SWB,W Borlase Sch,Yasmine Ryman-King
84,Women's Single Sculls Tier 3,Heat 1,5,4,NRC,Nottingham RC,Aerin Thompson
84,Women's Single Sculls Tier 3,Heat 1,6,7,WBK,Walbrook RC,Natasha Gallagher
84,Women's Single Sculls Tier 3,Heat 1,7,2,GLR,Gloucester RC,Rebecca Lees-Smith
85,Women's Single Sculls Tier 3,Heat 2,1,3,UTC,Upper Thames RC,Mary Merritt-Smith
85,Women's Single Sculls Tier 3,Heat 2,2,5,WAD,Wadham Coll,Stephanie Hall
85,Women's Single Sculls Tier 3,Heat 2,3,4,PBD,Poplar B&D,Andrea Stock
85,Women's Single Sculls Tier 3,Heat 2,4,2,CNN,Cambridge 99,Catherine Watson
85,Women's Single Sculls Tier 3,Heat 2,5,6,TSS,Tideway Sc Sch,Anna Louise Norgate
85,Women's Single Sculls Tier 3,Heat 2,6,1,PBD,Poplar B&D,Laura Stewart
85,Women's Single Sculls Tier 3,Heat 2,7,7,ZNU,NUI Galway BC,Ellen Ormsby
86,Coxless Fours Tier 4,Heat 1,1,6,MAV,Maidstone Inv,"Dan Hawke, Mason Shoebridge, Jamie Waterhouse, Kaan Belton"
86,Coxless Fours Tier 4,Heat 1,2,1,DUB,Durham Univ,"Matthew Roe, Harry Cox, Lachie Ives, Benjamin Evans"
86,Coxless Fours Tier 4,Heat 1,3,2,CFC (B),Cardiff City RC,"Shane Ahearne, Matthew Nicholls, Rhys Paul, Adrien Grubb"
86,Coxless Fours Tier 4,Heat 1,4,4,YRK (A),York City RC,"Patrick Evans, Andrew Wilkinson, Daniel Lewis, Benjamin Bollans"
86,Coxless Fours Tier 4,Heat 1,5,7,VRC,Vesta RC,"Laurence Hookway, James Cox, Alexander KÃ¼ng, Oliver Chapman"
86,Coxless Fours Tier 4,Heat 1,6,3,BRI (B),Bridgnorth RC,"Daryl Breakwell, Richard Pilsbury, Stuart Round, Nick McNeil"
87,Coxless Fours Tier 4,Heat 2,1,7,CBR (C),Bristol City,"Charles Caton, Patrick Wright, George Verdon, Ben Trotman"
87,Coxless Fours Tier 4,Heat 2,2,4,PMB,Pembroke Oxford,"Edward Rolls, Willem de Bruijn, Carl Gergs, Andrew James Saul"
87,Coxless Fours Tier 4,Heat 2,3,1,RAD,Radley Coll,"Rory Gearing, Felix Reynish, William Nelson, Felix Rawlinson"
87,Coxless Fours Tier 4,Heat 2,4,3,SUA (A),Stratford Avon,"Harpreet Mander, Oliver Smith, Benjamin Smith, Alastair Collier"
87,Coxless Fours Tier 4,Heat 2,5,2,RDG (C),Reading RC,"Luke Grundy, James Batchelor, Henry Stevens, Michael Croll"
87,Coxless Fours Tier 4,Heat 2,6,6,PTR (A),Putney Town,"Ewan Maddock, Cyrille Martin, Phillip Pollard, Samuel Russell"
88,Single Sculls Tier 3,Heat 1,1,2,IEL,Isle of Ely RC,George Bourne
