i,club,composite,Flag,r1,r2,r3,r4,r5,r6,r7,r8,FPos
304,Southampton University Boat Club,No,C,Calypso Morley,Sophie Knipe,Maria Martins,Alessandra Costantino,Lucy Butler,Iona McCaul,Lauren Hoven,Sarah Willcocks,252
293,Aberdeen University BC/Robert Gordon University BC,Aberdeen University BC,B,Emma Rickman,Alisa Koester,Abi Pitman,Christy Crook,Chloe Auchnie,Iona Arnott,Faye Walker,Caitlin Murphy,253
218,Ross Rowing Club ,No,,Alison Barker,Nicola Wild,Sarah Sykes,Beth Morris,Paige Howe,Imogen Ryan,Nia Ryan,Geraldine Calcraft,254
267,Grosvenor Rowing Club ,No,B,Sarah Edwards,Lucinda Dodd,Louise O'Rourke,Amanda Daniels,Betsy-Ann Ward,Emily Doherty,Lucy Doherty,Rachel Wagstaff,255
63,Furnivall Sculling Club,No,B,Pamela Major,Lisa Hopper,Karin Russig,Sue Ehr,Charlotte Mason,Florence Dolivet,Annette Warton,Valerie Snewin,256
223,Globe Rowing Club,No,A,Vanessa Morris,Sabina Manzini,Imogen Pringle,Jennifer Appleton,Frederique Le Bescond,Eleanor Turner,Satu Haikonen,Caroline Gasperin,257
229,Itchen Imperial Rowing Club ,No,,Lucinda Gooch,Molly Hart,Lucy Fagan,Kady Middleton,Venetia Comparelli,India Blake,Jessica Bull,Charlotte Starkey,258
257,Thames Rowing Club,No,F,Natalie Kondratii,Charlotte Maguire,Olivia Evenden,Marija Dainyte,Catherine Treherne-Thomas,Harriett Yea,Victoria Jacobi,Kate Harper-Tarr,259
287,Queen Mary University of London Boat Club ,No,,Jasmine Kaur,Siobhan Campbell,Olivia Exton-Pongracz,Alice Smith,Caitlin Dyer,Karis Hodgson,Elizabeth Guess,Caitlin Hardy,260
228,Reading Rowing Club,No,C,Stephanie Cole,Sophie Lee,Samantha Hall,Katherine Hindmarsh,Kerry McIntyre,Angharad Evans,Lorna Ni Chuireain,Gemma Potter,261
211,Falcon Rowing Club ,No,,Emma Johnson,Ivana Barin,Catherine Coxon,Vicky Anderton,Iolanda Vendrell,Lucy Hetherington,Ruth O'Loughlin,Kathryne Crossley,262
291,Lucy Cavendish College Boat Club,No,B,Zoe Pot,Anabel Martinez,Ning Sang Tan,Melisa Basol,Julie Rosendal Damborg,Yvonne Zivkovic,Anne Sauviat,Merit Hagenkort,263
203,Twickenham Rowing Club,No,A,Fiona Duggan,Philiberte Henriette Margareta Kruimel,Liz Bushby,Annabel Collett,Karoline Warr,Natalie Haywood,Vicki Lowery,Gillian O'Beirne,264
210,City of Cambridge Rowing Club,No,,Livia Oldland,Elizabeth Jarrett,Katherine Harrison,Louise Bailey,Emily Hogg,Amanda Buttery,Larisa Labzin,Jessie Hasken,265
192,St Cuthberts Society Boat Club,No,B,Hannah Darnton,Siobhan Byrne,Ffion Cartwright,Tara Dudhill,Alexandra Nicholas,Masha Markova,Charlie Lavemai-Goldsbrough,Pippa Cameron,266
213,Twickenham Rowing Club,No,B,Catherine Almond,Emma Fadlon,Justine Lee,Annette Hurley,Pamela McHutchon,Christina von Hodenberg,Wendy Primmer,Gabrielle Walters,267
315,Sheffield University Rowing Club,No,C,Caroline Schaufelberger,Mia Cousins,Niamh Callanan,Ellie Baimbridge,Lucy Booth,Elana Whistlecroft,Emily Butler,Alice Buxton,268
299,Lea Rowing Club,No,E,Elizabeth Stephen ,Bethany Smith,Warda Al-Jawahiry,Kemi Phillips,Katharine McClenaghan,Miriama Balazova,Aurelia Bonfanti,Kay Finch,269
71,Pengwern Boat Club ,No,,Jayne Chelton,June Onions,Deborah Turner,Clare Davis,Ali Thomas,Fleur Joyce,Sharon Clements,Caroline Harding,270
281,St Aidans College Boat Club,No,B,Imogen Taylor,Kristin Vagg,Emily Owens,Rhiannon Bailey,Tanvi Pahwa,Marta Alba,Victoria Tsaneva,Georgia Lee,271
266,Grey College Boat Club,No,B,Isabella Taylor,Genevieve Weston ,Lily Hulatt,Chelsea Birkett,Georgia Bridgen,Emily Hill,Rhiannon Berry,Charlotte Bourchier,272
182,Southampton University Boat Club,No,B,Elizabeth Platts,Isabel Hughes,Ella Halsall,Rachel Boyer,Honor James,India Oxley,Daisy Weighill,Margaret Stollery,273
312,Manchester University Boat Club,No,B,Tilly Meighen,Felicitas Buck,Yasmin Worsley,Chloe Townsend Williams,Claire Baxter,Fionnuala Lane,Elena Pavan Macias,Victoria Roberts,274
237,Bournemouth University Boat Club,No,B,Jasmiina Ryynanen,Jessica Leverton,Willow Johnson,Chloe Stimpson ,Caitlin Mulholland ,Morgane Corbett,Christie Robinson,Bronwyn Muir,275
221,Devils Elbow Rowing Club ,No,,Clare Sedgwick,Holly Kemish,Isobel Walker,Susan Booth,Joanne Pickford,Abby Turner,Vicky Nolan,Maxine Kavanagh,276
74,Loughborough Boat Club ,No,,Andrea Beddows,Sandra Martin,Jennifer Smith,Karen Senior,Katharine Henry,Victoria Haines,Emily Quinton,Nadine Storey,277
279,Chesterton Rowing Club,No,B,Katharine Winter,Katharine Bolt,Caroline Coetzee,Rosa Mottershead,Hannah Telka,Dawn Hawkins,Maria Netchaeva,Evelyne Donnaes,278
262,University College (Durham) Boat Club ,No,,Merryn Jones,Lily Munn,Eloise Hollands,Charlotte Crofts-Bolster,Elizabeth Fuller,Sabrina Longley,Ella Burandt,Amy Hollowood,279
260,St Georges Hospital Med.Sch.Boat Club ,No,,Allenis Mak,Jemima George,Emma Knight,Saba Mahmood,Sophie Mattar,Flora Matthews,Molly O'Donnell,Annabel Strachan,280
272,Royal Veterinary College Boat Club,No,B,Samantha Sorosjinda,Veronica Garcia,Alexandra Ayoub,Gabriella Hetesy,Anoushka Agarwal ,Molly Clarke,Madeleine Bacon,Kirstin Sutherland,281
220,Bewdley Rowing Club,No,B,Joanne Taylor,Nikki Hodnett,Zowie Moulden,Gemma Horton,Suzy James,Kerry Jones,Nicola Downing,Faith Humphries,282
235,Leicester Rowing Club ,No,,Shelisha Kincarr,Katarzyna Kmiecik,Hollie Parsons,Philippa James,Sarah Peck,Grace Haracz,Hazel Ward,Emma Crouch,283
